Year,Series,Type of Product,Value
2008,"Domestic material consumption, by type of raw material (tonnes)",CRO,351590.0
2008,"Domestic material consumption, by type of raw material (tonnes)",NFO,1499.0
2008,"Domestic material consumption, by type of raw material (tonnes)",CPR,0.0
2008,"Domestic material consumption, by type of raw material (tonnes)",WOD,29468.0
2008,"Domestic material consumption, by type of raw material (tonnes)",GBO,50490.0
2008,"Domestic material consumption, by type of raw material (tonnes)",BIM,606639.0
2008,"Domestic material consumption, by type of raw material (tonnes)",MEO,179183.0
2008,"Domestic material consumption, by type of raw material (tonnes)",FEO,37911.0
2008,"Domestic material consumption, by type of raw material (tonnes)",WCH,20940.0
2008,"Domestic material consumption, by type of raw material (tonnes)",NMM,2762420.0
2008,"Domestic material consumption, by type of raw material (tonnes)",FOF,-405229.0
2009,"Domestic material consumption, by type of raw material (tonnes)",ALP,3430504.0
2009,"Domestic material consumption, by type of raw material (tonnes)",PET,-77642.0
2009,"Domestic material consumption, by type of raw material (tonnes)",GAS,16494.0
2009,"Domestic material consumption, by type of raw material (tonnes)",WOD,24915.0
2009,"Domestic material consumption, by type of raw material (tonnes)",CPR,0.0
2009,"Domestic material consumption, by type of raw material (tonnes)",NFO,1040.0
2009,"Domestic material consumption, by type of raw material (tonnes)",CRO,325348.0
2009,"Domestic material consumption, by type of raw material (tonnes)",NMC,1937207.0
2009,"Domestic material consumption, by type of raw material (tonnes)",COL,3921.0
2009,"Domestic material consumption, by type of raw material (tonnes)",NMA,5753.0
2009,"Domestic material consumption, by type of raw material (tonnes)",FOF,-43607.0
2009,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2009,"Domestic material consumption, by type of raw material (tonnes)",NMM,2306954.0
2009,"Domestic material consumption, by type of raw material (tonnes)",FEO,24338.0
2009,"Domestic material consumption, by type of raw material (tonnes)",WCH,288200.0
2009,"Domestic material consumption, by type of raw material (tonnes)",MEO,222129.0
2009,"Domestic material consumption, by type of raw material (tonnes)",BIM,868898.0
2009,"Domestic material consumption, by type of raw material (tonnes)",GBO,46335.0
2010,"Domestic material consumption, by type of raw material (tonnes)",CRO,301008.0
2010,"Domestic material consumption, by type of raw material (tonnes)",NFO,2662.0
2010,"Domestic material consumption, by type of raw material (tonnes)",CPR,0.0
2010,"Domestic material consumption, by type of raw material (tonnes)",WOD,24364.0
2010,"Domestic material consumption, by type of raw material (tonnes)",GBO,49190.0
2010,"Domestic material consumption, by type of raw material (tonnes)",BIM,567668.0
2010,"Domestic material consumption, by type of raw material (tonnes)",ALP,2970310.0
2010,"Domestic material consumption, by type of raw material (tonnes)",MEO,92181.0
2010,"Domestic material consumption, by type of raw material (tonnes)",WCH,4094.0
2010,"Domestic material consumption, by type of raw material (tonnes)",FEO,31553.0
2010,"Domestic material consumption, by type of raw material (tonnes)",NMM,2387316.0
2010,"Domestic material consumption, by type of raw material (tonnes)",ONT,3000.0
2010,"Domestic material consumption, by type of raw material (tonnes)",FOF,-196558.0
2010,"Domestic material consumption, by type of raw material (tonnes)",NMA,4588.0
2010,"Domestic material consumption, by type of raw material (tonnes)",COL,2558.0
2010,"Domestic material consumption, by type of raw material (tonnes)",GAS,12669.0
2010,"Domestic material consumption, by type of raw material (tonnes)",NMC,2059033.0
2010,"Domestic material consumption, by type of raw material (tonnes)",PET,-235330.0
2011,"Domestic material consumption, by type of raw material (tonnes)",ALP,3913547.0
2011,"Domestic material consumption, by type of raw material (tonnes)",PET,803298.0
2011,"Domestic material consumption, by type of raw material (tonnes)",NMC,2069979.0
2011,"Domestic material consumption, by type of raw material (tonnes)",GAS,23296.0
2011,"Domestic material consumption, by type of raw material (tonnes)",NMA,3482.0
2011,"Domestic material consumption, by type of raw material (tonnes)",FOF,842390.0
2011,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2011,"Domestic material consumption, by type of raw material (tonnes)",COL,2420.0
2011,"Domestic material consumption, by type of raw material (tonnes)",NMM,2367109.0
2011,"Domestic material consumption, by type of raw material (tonnes)",FEO,1044.0
2011,"Domestic material consumption, by type of raw material (tonnes)",WCH,10423.0
2011,"Domestic material consumption, by type of raw material (tonnes)",MEO,66574.0
2011,"Domestic material consumption, by type of raw material (tonnes)",GBO,59418.0
2011,"Domestic material consumption, by type of raw material (tonnes)",WOD,24642.0
2011,"Domestic material consumption, by type of raw material (tonnes)",CPR,0.0
2011,"Domestic material consumption, by type of raw material (tonnes)",NFO,1701.0
2011,"Domestic material consumption, by type of raw material (tonnes)",CRO,295112.0
2011,"Domestic material consumption, by type of raw material (tonnes)",BIM,554686.0
2012,"Domestic material consumption, by type of raw material (tonnes)",NFO,259.0
2012,"Domestic material consumption, by type of raw material (tonnes)",CPR,0.0
2012,"Domestic material consumption, by type of raw material (tonnes)",WOD,22145.0
2012,"Domestic material consumption, by type of raw material (tonnes)",GBO,54602.0
2012,"Domestic material consumption, by type of raw material (tonnes)",MEO,47435.0
2012,"Domestic material consumption, by type of raw material (tonnes)",WCH,15997.0
2012,"Domestic material consumption, by type of raw material (tonnes)",FEO,1845.0
2012,"Domestic material consumption, by type of raw material (tonnes)",NMM,2328369.0
2012,"Domestic material consumption, by type of raw material (tonnes)",COL,2541.0
2012,"Domestic material consumption, by type of raw material (tonnes)",ONT,3156.0
2012,"Domestic material consumption, by type of raw material (tonnes)",BIM,627753.0
2012,"Domestic material consumption, by type of raw material (tonnes)",CRO,314140.0
2012,"Domestic material consumption, by type of raw material (tonnes)",FOF,1385466.0
2012,"Domestic material consumption, by type of raw material (tonnes)",NMA,8181.0
2012,"Domestic material consumption, by type of raw material (tonnes)",GAS,26199.0
2012,"Domestic material consumption, by type of raw material (tonnes)",PET,1340905.0
2012,"Domestic material consumption, by type of raw material (tonnes)",NMC,2021735.0
2012,"Domestic material consumption, by type of raw material (tonnes)",ALP,4457425.0
2013,"Domestic material consumption, by type of raw material (tonnes)",COL,2823.0
2013,"Domestic material consumption, by type of raw material (tonnes)",FOF,1086995.0
2013,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2013,"Domestic material consumption, by type of raw material (tonnes)",NMM,1832948.0
2013,"Domestic material consumption, by type of raw material (tonnes)",FEO,3120.0
2013,"Domestic material consumption, by type of raw material (tonnes)",WCH,20007.0
2013,"Domestic material consumption, by type of raw material (tonnes)",MEO,143281.0
2013,"Domestic material consumption, by type of raw material (tonnes)",GBO,50894.0
2013,"Domestic material consumption, by type of raw material (tonnes)",WOD,22755.0
2013,"Domestic material consumption, by type of raw material (tonnes)",CPR,285.0
2013,"Domestic material consumption, by type of raw material (tonnes)",ALP,3722051.0
2013,"Domestic material consumption, by type of raw material (tonnes)",NMC,1571615.0
2013,"Domestic material consumption, by type of raw material (tonnes)",PET,1104852.0
2013,"Domestic material consumption, by type of raw material (tonnes)",GAS,19718.0
2013,"Domestic material consumption, by type of raw material (tonnes)",NMA,10549.0
2013,"Domestic material consumption, by type of raw material (tonnes)",NFO,1216.0
2013,"Domestic material consumption, by type of raw material (tonnes)",BIM,582694.0
2013,"Domestic material consumption, by type of raw material (tonnes)",CRO,330025.0
2014,"Domestic material consumption, by type of raw material (tonnes)",FEO,15531.0
2014,"Domestic material consumption, by type of raw material (tonnes)",NMM,1866277.0
2014,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2014,"Domestic material consumption, by type of raw material (tonnes)",COL,3046.0
2014,"Domestic material consumption, by type of raw material (tonnes)",FOF,2462954.0
2014,"Domestic material consumption, by type of raw material (tonnes)",NMA,16517.0
2014,"Domestic material consumption, by type of raw material (tonnes)",GAS,19069.0
2014,"Domestic material consumption, by type of raw material (tonnes)",NMC,1561666.0
2014,"Domestic material consumption, by type of raw material (tonnes)",PET,2461113.0
2014,"Domestic material consumption, by type of raw material (tonnes)",ALP,5156416.0
2014,"Domestic material consumption, by type of raw material (tonnes)",CRO,336778.0
2014,"Domestic material consumption, by type of raw material (tonnes)",WOD,23190.0
2014,"Domestic material consumption, by type of raw material (tonnes)",BIM,596970.0
2014,"Domestic material consumption, by type of raw material (tonnes)",NFO,2044.0
2014,"Domestic material consumption, by type of raw material (tonnes)",CPR,451.0
2014,"Domestic material consumption, by type of raw material (tonnes)",GBO,51151.0
2014,"Domestic material consumption, by type of raw material (tonnes)",MEO,130694.0
2014,"Domestic material consumption, by type of raw material (tonnes)",WCH,19681.0
2015,"Domestic material consumption, by type of raw material (tonnes)",MEO,473893.0
2015,"Domestic material consumption, by type of raw material (tonnes)",GBO,56205.0
2015,"Domestic material consumption, by type of raw material (tonnes)",CPR,23.0
2015,"Domestic material consumption, by type of raw material (tonnes)",NFO,838.0
2015,"Domestic material consumption, by type of raw material (tonnes)",BIM,634108.0
2015,"Domestic material consumption, by type of raw material (tonnes)",WOD,26578.0
2015,"Domestic material consumption, by type of raw material (tonnes)",CRO,330900.0
2015,"Domestic material consumption, by type of raw material (tonnes)",ALP,6144233.0
2015,"Domestic material consumption, by type of raw material (tonnes)",PET,2450698.0
2015,"Domestic material consumption, by type of raw material (tonnes)",GAS,22424.0
2015,"Domestic material consumption, by type of raw material (tonnes)",NMA,15520.0
2015,"Domestic material consumption, by type of raw material (tonnes)",COL,2811.0
2015,"Domestic material consumption, by type of raw material (tonnes)",FOF,2477279.0
2015,"Domestic material consumption, by type of raw material (tonnes)",NMC,2059895.0
2015,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2015,"Domestic material consumption, by type of raw material (tonnes)",NMM,2414795.0
2015,"Domestic material consumption, by type of raw material (tonnes)",FEO,77571.0
2015,"Domestic material consumption, by type of raw material (tonnes)",WCH,30461.0
2016,"Domestic material consumption, by type of raw material (tonnes)",CRO,356530.0
2016,"Domestic material consumption, by type of raw material (tonnes)",BIM,673318.0
2016,"Domestic material consumption, by type of raw material (tonnes)",NFO,3804.0
2016,"Domestic material consumption, by type of raw material (tonnes)",NMA,9378.0
2016,"Domestic material consumption, by type of raw material (tonnes)",GAS,18132.0
2016,"Domestic material consumption, by type of raw material (tonnes)",PET,2704594.0
2016,"Domestic material consumption, by type of raw material (tonnes)",ALP,6184799.0
2016,"Domestic material consumption, by type of raw material (tonnes)",CPR,357.0
2016,"Domestic material consumption, by type of raw material (tonnes)",GBO,56098.0
2016,"Domestic material consumption, by type of raw material (tonnes)",WCH,47133.0
2016,"Domestic material consumption, by type of raw material (tonnes)",MEO,199276.0
2016,"Domestic material consumption, by type of raw material (tonnes)",WOD,28529.0
2016,"Domestic material consumption, by type of raw material (tonnes)",FEO,-18468.0
2016,"Domestic material consumption, by type of raw material (tonnes)",NMM,2266000.0
2016,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2016,"Domestic material consumption, by type of raw material (tonnes)",FOF,2736418.0
2016,"Domestic material consumption, by type of raw material (tonnes)",COL,5094.0
2016,"Domestic material consumption, by type of raw material (tonnes)",NMC,1920418.0
2017,"Domestic material consumption, by type of raw material (tonnes)",ALP,5329227.0
2017,"Domestic material consumption, by type of raw material (tonnes)",NMC,1710121.0
2017,"Domestic material consumption, by type of raw material (tonnes)",PET,1948226.0
2017,"Domestic material consumption, by type of raw material (tonnes)",GAS,21989.0
2017,"Domestic material consumption, by type of raw material (tonnes)",NMA,6015.0
2017,"Domestic material consumption, by type of raw material (tonnes)",COL,3238.0
2017,"Domestic material consumption, by type of raw material (tonnes)",CPR,257.0
2017,"Domestic material consumption, by type of raw material (tonnes)",FOF,1997838.0
2017,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2017,"Domestic material consumption, by type of raw material (tonnes)",NMM,2114186.0
2017,"Domestic material consumption, by type of raw material (tonnes)",FEO,-61711.0
2017,"Domestic material consumption, by type of raw material (tonnes)",NFO,32889.0
2017,"Domestic material consumption, by type of raw material (tonnes)",MEO,386394.0
2017,"Domestic material consumption, by type of raw material (tonnes)",WCH,60842.0
2017,"Domestic material consumption, by type of raw material (tonnes)",GBO,59303.0
2017,"Domestic material consumption, by type of raw material (tonnes)",BIM,683278.0
2017,"Domestic material consumption, by type of raw material (tonnes)",WOD,31513.0
2017,"Domestic material consumption, by type of raw material (tonnes)",CRO,295973.0
2018,"Domestic material consumption, by type of raw material (tonnes)",CPR,221.0
2018,"Domestic material consumption, by type of raw material (tonnes)",CRO,318170.0
2018,"Domestic material consumption, by type of raw material (tonnes)",BIM,717075.0
2018,"Domestic material consumption, by type of raw material (tonnes)",GBO,48769.0
2018,"Domestic material consumption, by type of raw material (tonnes)",WCH,112154.0
2018,"Domestic material consumption, by type of raw material (tonnes)",MEO,259635.0
2018,"Domestic material consumption, by type of raw material (tonnes)",WOD,27140.0
2018,"Domestic material consumption, by type of raw material (tonnes)",FEO,-86284.0
2018,"Domestic material consumption, by type of raw material (tonnes)",NMM,2557903.0
2018,"Domestic material consumption, by type of raw material (tonnes)",NFO,3185.0
2018,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2018,"Domestic material consumption, by type of raw material (tonnes)",FOF,2413294.0
2018,"Domestic material consumption, by type of raw material (tonnes)",COL,2759.0
2018,"Domestic material consumption, by type of raw material (tonnes)",NMC,2061697.0
2018,"Domestic material consumption, by type of raw material (tonnes)",NMA,5393.0
2018,"Domestic material consumption, by type of raw material (tonnes)",GAS,28715.0
2018,"Domestic material consumption, by type of raw material (tonnes)",PET,2357830.0
2018,"Domestic material consumption, by type of raw material (tonnes)",ALP,6303384.0
2019,"Domestic material consumption, by type of raw material (tonnes)",PET,1772821.0
2019,"Domestic material consumption, by type of raw material (tonnes)",GAS,27812.0
2019,"Domestic material consumption, by type of raw material (tonnes)",NMA,4903.0
2019,"Domestic material consumption, by type of raw material (tonnes)",COL,2728.0
2019,"Domestic material consumption, by type of raw material (tonnes)",FOF,1812461.0
2019,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2019,"Domestic material consumption, by type of raw material (tonnes)",NFO,4041.0
2019,"Domestic material consumption, by type of raw material (tonnes)",NMM,3277959.0
2019,"Domestic material consumption, by type of raw material (tonnes)",FEO,29710.0
2019,"Domestic material consumption, by type of raw material (tonnes)",WOD,30116.0
2019,"Domestic material consumption, by type of raw material (tonnes)",ALP,6004836.0
2019,"Domestic material consumption, by type of raw material (tonnes)",NMC,2697598.0
2019,"Domestic material consumption, by type of raw material (tonnes)",MEO,148466.0
2019,"Domestic material consumption, by type of raw material (tonnes)",WCH,40729.0
2019,"Domestic material consumption, by type of raw material (tonnes)",GBO,44611.0
2019,"Domestic material consumption, by type of raw material (tonnes)",CRO,320841.0
2019,"Domestic material consumption, by type of raw material (tonnes)",BIM,676933.0
2019,"Domestic material consumption, by type of raw material (tonnes)",CPR,110.0
2020,"Domestic material consumption, by type of raw material (tonnes)",MEO,154099.0
2020,"Domestic material consumption, by type of raw material (tonnes)",WOD,26312.0
2020,"Domestic material consumption, by type of raw material (tonnes)",FEO,53207.0
2020,"Domestic material consumption, by type of raw material (tonnes)",NMM,3429427.0
2020,"Domestic material consumption, by type of raw material (tonnes)",NFO,4393.0
2020,"Domestic material consumption, by type of raw material (tonnes)",FOF,2288051.0
2020,"Domestic material consumption, by type of raw material (tonnes)",COL,3420.0
2020,"Domestic material consumption, by type of raw material (tonnes)",NMA,5399.0
2020,"Domestic material consumption, by type of raw material (tonnes)",NMC,2810223.0
2020,"Domestic material consumption, by type of raw material (tonnes)",GAS,21591.0
2020,"Domestic material consumption, by type of raw material (tonnes)",CPR,1439.0
2020,"Domestic material consumption, by type of raw material (tonnes)",BIM,623587.0
2020,"Domestic material consumption, by type of raw material (tonnes)",CRO,293618.0
2020,"Domestic material consumption, by type of raw material (tonnes)",GBO,46694.0
2020,"Domestic material consumption, by type of raw material (tonnes)",WCH,45745.0
2020,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2020,"Domestic material consumption, by type of raw material (tonnes)",PET,2211310.0
2020,"Domestic material consumption, by type of raw material (tonnes)",ALP,6594235.0
2021,"Domestic material consumption, by type of raw material (tonnes)",NMM,3450215.0
2021,"Domestic material consumption, by type of raw material (tonnes)",FEO,60674.0
2021,"Domestic material consumption, by type of raw material (tonnes)",NFO,2399.0
2021,"Domestic material consumption, by type of raw material (tonnes)",WCH,50611.0
2021,"Domestic material consumption, by type of raw material (tonnes)",WOD,27487.0
2021,"Domestic material consumption, by type of raw material (tonnes)",MEO,328135.0
2021,"Domestic material consumption, by type of raw material (tonnes)",GBO,49956.0
2021,"Domestic material consumption, by type of raw material (tonnes)",CRO,267892.0
2021,"Domestic material consumption, by type of raw material (tonnes)",BIM,571578.0
2021,"Domestic material consumption, by type of raw material (tonnes)",CPR,1241.0
2021,"Domestic material consumption, by type of raw material (tonnes)",ALP,6438325.0
2021,"Domestic material consumption, by type of raw material (tonnes)",PET,1868372.0
2021,"Domestic material consumption, by type of raw material (tonnes)",ONT,0.0
2021,"Domestic material consumption, by type of raw material (tonnes)",GAS,25439.0
2021,"Domestic material consumption, by type of raw material (tonnes)",NMC,2869651.0
2021,"Domestic material consumption, by type of raw material (tonnes)",NMA,4724.0
2021,"Domestic material consumption, by type of raw material (tonnes)",COL,3554.0
2021,"Domestic material consumption, by type of raw material (tonnes)",FOF,1892394.0
2022,"Domestic material consumption, by type of raw material (tonnes)",BIM,581708.0
2022,"Domestic material consumption, by type of raw material (tonnes)",MEO,157259.0
2022,"Domestic material consumption, by type of raw material (tonnes)",NMM,3239610.0
2022,"Domestic material consumption, by type of raw material (tonnes)",FOF,1795999.0
2022,"Domestic material consumption, by type of raw material (tonnes)",ALP,5897275.0
